ID,R.A.,Dec.,Morphology,Comments,F115W,F150W_ERR,F150W,F150W_ERR,F200W,F200W_ERR,F277W,F277W_ERR,F356W,F356W_ERR,F410M,F410M_ERR,F444W,F444W_ERR,alpha_lambda,alpha_lambda_ERR,M1450,M1450_ERR,EWrest277,EWrest277_ERR,EWrest410,EWrest410_ERR
515,215.106678,52.925811,0,,28.94,0.2,28.56,0.19,28.89,0.23,28.28,0.13,28.44,0.14,27.8,0.19,28.8,0.24,-1.68,0.25,-17.5,0.21,336.7,166.88,562.33,216.05
1485,215.104809,52.927719,1,,26.09,0.02,26.3,0.04,26.21,0.03,25.4,0.02,26.07,0.02,25.35,0.03,25.88,0.02,-1.94,0.14,-20.25,0.11,1055.72,29.54,717.81,38.63
1836,215.104637,52.929068,0,,27.19,0.05,27.29,0.08,27.2,0.07,26.23,0.03,26.75,0.04,26.14,0.06,26.51,0.04,-1.6,0.16,-19.04,0.14,988.46,53.53,543.8,66.33
1953,215.156838,52.966785,1,,28.13,0.13,29.11,0.44,28.41,0.2,27.6,0.09,27.99,0.12,27.29,0.15,27.65,0.11,-1.87,0.33,-18.18,0.3,689.99,152.18,750.27,205.47
2353,214.980334,52.841505,0,,27.69,0.07,27.65,0.14,27.81,0.11,27.0,0.05,27.61,0.07,26.88,0.09,27.24,0.09,-1.95,0.11,-18.74,0.09,918.17,88.98,726.27,117.89
2932,214.973169,52.838012,0,,28.84,0.21,28.54,0.33,29.67,0.74,28.36,0.19,28.72,0.24,27.59,0.19,28.23,0.25,-1.97,0.24,-17.74,0.2,380.48,249.39,1219.12,341.06
3030,215.132246,52.95218,0,,28.78,0.24,28.54,0.27,29.7,0.65,28.18,0.15,28.41,0.18,27.14,0.14,28.16,0.19,-1.74,0.14,-17.68,0.12,317.01,195.98,1449.42,273.76
3420,215.007119,52.863456,1,,29.14,0.24,28.89,0.28,29.32,0.36,27.77,0.08,28.59,0.15,27.46,0.14,28.03,0.13,-1.62,0.33,-17.18,0.27,1771.94,208.72,1422.45,270.6
3714,214.99231,52.853519,0,,28.86,0.26,27.81,0.14,28.32,0.2,27.76,0.1,28.21,0.13,27.54,0.19,27.7,0.13,-1.71,0.55,-17.93,0.46,497.12,143.11,420.28,192.9
4010,214.878935,52.772523,0,,28.12,0.15,28.21,0.19,27.88,0.12,27.48,0.08,28.04,0.14,27.2,0.13,28.03,0.16,-1.89,0.17,-18.31,0.14,694.33,135.62,728.54,165.0
4096,215.087338,52.922263,0,,27.81,0.09,27.56,0.1,27.51,0.09,26.44,0.03,27.02,0.04,26.25,0.06,26.82,0.05,-1.38,0.08,-18.5,0.06,1108.86,61.85,642.9,69.37
4150,215.142514,52.961921,0,,27.96,0.09,28.29,0.18,27.76,0.09,27.19,0.06,28.12,0.12,27.19,0.12,27.59,0.09,-2.03,0.3,-18.45,0.25,1307.31,123.52,859.45,169.66
4953,214.975654,52.84417,0,,28.27,0.11,28.64,0.31,28.47,0.18,27.27,0.06,27.79,0.09,26.92,0.09,27.2,0.08,-1.51,0.34,-17.78,0.29,1189.39,125.29,994.32,142.54
5347,214.875586,52.77285,1,,30.07,0.79,28.61,0.25,30.88,1.74,28.0,0.13,28.28,0.16,27.63,0.18,28.09,0.16,-1.65,0.0,-17.66,0.0,441.54,177.03,518.37,200.24
5527,214.875491,52.773123,0,,30.12,0.87,28.71,0.29,28.8,0.27,27.72,0.1,28.18,0.15,27.52,0.16,28.3,0.2,-1.37,0.31,-17.29,0.3,953.13,187.11,542.9,187.37
5712,215.133609,52.958543,0,,30.24,0.64,30.31,0.98,29.24,0.31,28.62,0.17,29.29,0.29,27.8,0.17,29.44,0.44,-2.07,0.0,-17.28,0.0,889.05,303.03,2087.87,447.21
5808,215.134242,52.959434,1,,29.37,0.3,30.88,1.77,29.08,0.29,27.61,0.07,28.62,0.16,27.51,0.15,27.99,0.12,-1.39,0.07,-16.9,0.06,2186.98,224.94,1137.68,253.21
5905,214.811038,52.727328,0,,28.92,0.3,28.32,0.2,29.6,0.56,27.99,0.12,28.33,0.17,27.61,0.18,27.92,0.14,-1.64,0.4,-17.66,0.34,434.14,172.5,519.18,203.32
6058,215.087717,52.926727,0,,29.04,0.29,29.08,0.42,28.41,0.21,27.61,0.09,28.54,0.18,27.52,0.19,28.09,0.17,-1.59,0.37,-17.45,0.34,1409.36,208.67,803.76,258.96
6585,214.809215,52.72733,0,,27.5,0.09,27.53,0.1,27.77,0.11,26.69,0.04,27.37,0.08,26.73,0.09,27.04,0.07,-1.9,0.22,-18.84,0.18,1212.48,86.37,675.98,108.82
6678,215.146795,52.970107,0,,27.43,0.07,27.3,0.09,27.26,0.08,26.64,0.04,26.89,0.05,26.14,0.06,26.48,0.04,-1.57,0.06,-18.9,0.05,466.03,63.39,653.28,75.0
7161,215.090931,52.931348,0,,27.57,0.08,28.04,0.16,27.65,0.1,27.09,0.06,27.79,0.09,26.76,0.09,27.18,0.07,-2.06,0.28,-18.75,0.23,972.1,104.9,1138.8,157.68
7707,215.0935,52.934269,1,,28.84,0.18,28.89,0.27,29.18,0.35,27.72,0.07,28.25,0.11,27.59,0.15,28.26,0.15,-1.51,0.39,-17.29,0.33,1299.31,161.26,747.33,199.71
8146,214.943927,52.827939,0,,29.01,0.24,29.3,0.62,28.6,0.23,27.89,0.12,28.29,0.16,27.67,0.21,28.92,0.43,-1.41,0.06,-17.31,0.06,697.25,201.27,415.38,215.87
