ID,R.A.,Dec.,Morphology,Comment,F115W,SNRF115W,F150W,SNRF150W,F200W,SNRF200W,F277W,SNRF277W,F356W,SNRF356W,F410M,SNRF410M,F444W,SNRF444W,alpha_lambda,alpha_lambda_ERR,M1450,M1450_ERR,EWrest277,EWrest277_ERR,EWrest410,EWrest410_ERR
515,215.106678,52.925811,0,,28.94,5.50,28.56,5.66,28.89,4.64,28.28,8.51,28.44,7.93,27.80,5.86,28.80,4.53,-1.68,0.25,-17.5,0.21,303.59,162.99,562.33,216.05
1485,215.104809,52.927719,1,,26.09,50.85,26.30,30.52,26.21,36.39,25.40,72.42,26.07,47.39,25.35,36.79,25.88,45.02,-1.94,0.14,-20.25,0.11,1045.59,29.4,717.81,38.63
1836,215.104637,52.929068,0,,27.19,20.41,27.29,13.20,27.20,15.83,26.23,38.71,26.75,27.41,26.14,18.80,26.51,26.97,-1.6,0.16,-19.04,0.14,927.55,51.96,543.8,66.33
1953,215.156838,52.966785,1,,28.13,8.59,29.11,2.49,28.41,5.49,27.60,11.66,27.99,9.23,27.29,7.07,27.65,9.59,-1.87,0.33,-18.18,0.3,673.65,150.78,750.27,205.47
2353,214.980334,52.841505,0,,27.69,15.53,27.65,7.95,27.81,10.18,27.00,22.50,27.61,14.74,26.88,12.13,27.24,11.53,-1.95,0.11,-18.74,0.09,911.47,88.69,726.27,117.89
2932,214.973169,52.838012,0,,28.84,5.26,28.54,3.31,29.67,1.46,28.36,5.87,28.72,4.61,27.59,5.64,28.23,4.42,-1.97,0.24,-17.74,0.2,377.75,248.93,1219.12,341.06
3030,215.132246,52.95218,0,,28.78,4.52,28.54,4.09,29.70,1.67,28.18,7.15,28.41,6.01,27.14,7.86,28.16,5.79,-1.74,0.14,-17.68,0.12,290.23,192.23,1449.42,273.76
3420,215.007119,52.863456,1,,29.14,4.51,28.89,3.88,29.32,3.06,27.77,13.68,28.59,7.10,27.46,7.86,28.03,8.53,-1.62,0.33,-17.18,0.27,1693.64,203.0,1422.45,270.6
3714,214.99231,52.853519,0,,28.86,4.19,27.81,7.73,28.32,5.57,27.76,11.05,28.21,8.14,27.54,5.82,27.70,8.59,-1.71,0.55,-17.93,0.46,463.26,140.05,420.28,192.9
4010,214.878935,52.772523,0,,28.12,7.35,28.21,5.68,27.88,8.94,27.48,13.11,28.04,7.74,27.20,8.68,28.03,6.72,-1.89,0.17,-18.31,0.14,679.76,134.51,728.54,165.0
4096,215.087338,52.922263,0,,27.81,11.47,27.56,10.51,27.51,12.51,26.44,35.45,27.02,24.26,26.25,19.41,26.82,20.83,-1.38,0.08,-18.5,0.06,1011.0,59.09,642.9,69.37
4150,215.142514,52.961921,0,,27.96,11.86,28.29,6.18,27.76,11.46,27.19,19.36,28.12,9.25,27.19,9.21,27.59,11.78,-2.03,0.3,-18.45,0.25,1312.58,123.79,859.45,169.66
4953,214.975654,52.84417,0,,28.27,10.25,28.64,3.56,28.47,6.11,27.27,18.14,27.79,12.67,26.92,11.91,27.20,13.32,-1.51,0.34,-17.78,0.29,1108.07,120.81,994.32,142.54
5347,214.875586,52.77285,1,,30.07,1.37,28.61,4.34,30.88,0.62,28.00,8.62,28.28,6.65,27.63,6.10,28.09,6.97,-1.65,0.0,-17.66,0.0,402.85,172.54,518.37,200.24
5527,214.875491,52.773123,0,,30.12,1.25,28.71,3.74,28.80,4.00,27.72,10.89,28.18,7.17,27.52,6.65,28.30,5.45,-1.37,0.31,-17.29,0.3,860.47,178.6,542.9,187.37
5712,215.133609,52.958543,0,,30.24,1.71,30.31,1.11,29.24,3.47,28.62,6.51,29.29,3.81,27.80,6.24,29.44,2.49,-2.07,0.0,-17.28,0.0,899.43,304.63,2087.87,447.21
5808,215.134242,52.959434,1,,29.37,3.56,30.88,0.61,29.08,3.73,27.61,14.54,28.62,6.80,27.51,7.27,27.99,8.82,-1.39,0.07,-16.9,0.06,2042.29,214.99,1137.68,253.21
5905,214.811038,52.727328,0,,28.92,3.64,28.32,5.32,29.60,1.94,27.99,8.80,28.33,6.55,27.61,6.01,27.92,7.71,-1.64,0.4,-17.66,0.34,393.83,167.92,519.18,203.32
6058,215.087717,52.926727,0,,29.04,3.71,29.08,2.59,28.41,5.17,27.61,11.95,28.54,6.05,27.52,5.82,28.09,6.48,-1.59,0.37,-17.45,0.34,1335.62,202.5,803.76,258.96
6585,214.809215,52.72733,1,,27.50,11.87,27.53,10.66,27.77,9.67,26.69,26.59,27.37,13.69,26.73,12.67,27.04,16.65,-1.9,0.22,-18.84,0.18,1195.57,85.73,675.98,108.82
6678,215.146795,52.970107,0,,27.43,15.27,27.30,12.19,27.26,14.33,26.64,24.45,26.89,23.04,26.14,18.09,26.48,25.99,-1.57,0.06,-18.9,0.05,417.52,61.41,653.28,75.0
7161,215.090931,52.931348,0,,27.57,13.73,28.04,6.81,27.65,11.05,27.09,19.60,27.79,11.99,26.76,11.68,27.18,15.11,-2.06,0.28,-18.75,0.23,980.62,105.34,1138.8,157.68
7707,215.0935,52.934269,1,,28.84,6.17,28.89,4.06,29.18,3.09,27.72,14.78,28.25,10.33,27.59,7.26,28.26,7.23,-1.51,0.39,-17.29,0.33,1215.13,155.56,747.33,199.71
8146,214.943927,52.827939,0,,29.01,4.53,29.30,1.76,28.60,4.80,27.89,8.85,28.29,6.88,27.67,5.18,28.92,2.51,-1.41,0.06,-17.31,0.06,621.22,192.68,415.38,215.87
8156,214.87089,52.775277,0,,28.87,4.03,28.92,3.18,28.59,5.03,27.28,15.37,27.84,9.02,27.19,8.29,27.59,10.82,-1.09,0.2,-17.19,0.17,1199.08,148.5,512.46,146.72
8477,214.862472,52.769952,0,,28.13,8.65,28.09,7.47,28.66,4.40,27.78,11.28,29.02,3.59,27.35,8.20,28.15,7.09,-2.8,0.19,-18.63,0.16,1910.78,265.59,2992.52,450.53
8512,215.141389,52.970196,0,,28.71,4.83,28.16,5.47,27.90,7.88,26.90,19.94,27.17,17.86,26.55,12.80,26.94,16.85,-0.79,0.12,-17.52,0.1,582.32,83.56,322.76,80.16
8596,215.090661,52.934111,1,,27.45,18.83,27.52,10.74,27.78,10.84,26.46,38.66,26.99,27.63,26.32,19.99,26.78,21.14,-1.61,0.35,-18.72,0.29,1136.78,57.44,746.43,72.54
8614,215.101217,52.941741,0,,28.48,6.76,28.13,6.39,29.14,2.89,28.07,8.03,28.52,6.01,27.48,6.02,27.99,7.24,-2.13,0.31,-18.19,0.27,436.19,189.32,1074.23,295.47
8808,215.002067,52.871104,1,,28.51,7.06,28.29,5.91,28.31,6.52,27.74,12.77,28.03,10.62,27.26,8.34,27.57,11.46,-1.64,0.08,-17.89,0.06,424.89,118.12,659.33,163.34
8853,215.037222,52.896447,0,,28.35,9.51,28.84,4.29,28.81,5.14,28.40,7.56,28.57,7.39,27.66,6.23,28.60,5.38,-2.08,0.3,-17.88,0.25,319.7,185.74,1145.87,296.89
9207,215.008961,52.87667,0,,25.14,77.25,25.16,54.12,24.88,74.24,23.62,169.77,24.60,102.93,23.19,130.26,23.72,204.91,-1.52,0.09,-21.13,0.08,1862.9,17.36,1731.54,18.69
9208,215.008927,52.876808,0,,27.23,21.71,27.09,17.22,27.25,16.64,26.13,42.01,27.34,17.96,25.97,23.02,26.54,28.47,-2.14,0.1,-19.35,0.09,2100.97,75.81,1780.5,107.89
9733,214.870221,52.777566,0,,28.36,5.40,28.75,3.10,28.20,5.91,27.75,8.11,28.21,5.57,27.44,5.46,28.08,5.73,-1.75,0.3,-17.88,0.25,628.67,211.18,671.81,251.81
10232,214.885095,52.789781,0,,28.23,11.47,28.93,4.12,28.54,7.41,27.64,18.43,27.92,13.13,27.25,11.89,27.48,15.54,-1.56,0.49,-17.71,0.41,693.85,96.48,733.95,120.92
10297,215.079834,52.929811,1,,28.07,10.42,27.96,8.35,28.08,8.57,27.33,17.08,28.20,9.31,27.20,8.40,28.06,7.57,-2.14,0.09,-18.5,0.07,1220.1,134.89,1063.33,210.37
10570,214.848944,52.764355,1,,27.94,9.03,27.82,8.50,28.39,6.04,26.98,20.96,27.88,9.00,26.73,12.56,27.01,17.84,-2.01,0.35,-18.47,0.29,1712.8,133.45,1587.12,182.35
10785,215.149996,52.9809,0,,28.75,6.02,28.63,4.70,28.74,4.87,27.77,13.56,28.62,6.92,27.44,6.68,27.81,10.03,-1.92,0.08,-17.72,0.06,1342.81,178.97,1374.0,311.15
10813,214.872951,52.782156,0,,27.07,15.37,27.51,9.30,27.19,14.26,26.34,28.01,27.07,14.49,26.25,15.11,26.49,23.67,-1.88,0.27,-19.16,0.22,1199.74,81.53,845.18,102.5
10856,214.880799,52.787943,1,,27.87,11.03,27.48,11.07,27.86,10.37,27.12,19.84,27.24,19.50,26.61,16.74,26.98,17.56,-1.58,0.29,-18.51,0.24,318.26,70.69,571.76,76.18
10997,214.919714,52.816233,0,,26.24,56.00,26.07,33.30,25.89,52.86,25.27,84.12,25.55,74.63,24.82,61.26,25.27,69.72,-1.44,0.01,-20.08,0.01,446.81,18.2,557.86,20.58
11199,215.075596,52.928637,1,,28.14,9.48,27.98,7.81,28.00,8.80,27.18,21.40,27.62,16.48,27.01,10.96,27.70,10.18,-1.59,0.09,-18.2,0.07,707.68,83.71,495.47,109.32
11921,214.872115,52.783941,0,,27.93,9.50,28.27,5.79,28.14,7.53,27.21,11.77,27.66,10.25,26.96,9.65,27.44,12.41,-1.69,0.28,-18.22,0.24,853.36,164.65,728.84,148.43
12076,215.032302,52.899471,0,,27.44,17.96,27.85,8.71,28.30,6.57,27.27,16.98,28.20,8.72,27.42,6.88,27.66,10.32,-2.59,0.32,-18.98,0.26,1590.95,157.53,1110.37,263.62
12406,214.943865,52.836699,1,,28.72,7.27,28.17,5.93,28.99,3.98,28.14,8.43,28.26,8.55,27.43,7.41,27.81,8.28,-1.79,0.5,-17.76,0.42,335.35,168.26,949.03,223.07
12564,214.867544,52.782031,1,,28.45,5.90,28.60,4.23,28.70,4.51,27.33,13.28,27.73,8.67,27.09,7.97,27.74,9.29,-1.37,0.38,-17.59,0.32,1008.62,157.53,693.35,175.24
12565,214.819109,52.747029,0,,29.10,3.47,28.43,5.25,28.65,4.70,28.13,7.87,28.34,6.59,27.64,6.00,28.54,4.75,-1.52,0.3,-17.45,0.25,287.52,174.19,501.44,200.75
13225,214.946385,52.840202,0,,27.89,11.72,28.06,4.87,28.67,4.00,27.65,9.40,27.77,9.78,27.12,7.11,27.99,5.16,-1.91,0.54,-18.3,0.45,488.26,167.22,911.91,227.1
13411,215.113968,52.960601,0,,26.92,30.16,27.05,19.27,26.95,23.77,26.34,39.35,27.13,23.15,26.15,22.72,26.80,24.43,-2.14,0.08,-19.56,0.07,1069.09,54.71,1031.2,76.35
13556,214.88381,52.795799,1,,28.26,11.91,29.10,2.78,28.91,4.67,28.28,9.50,28.72,7.14,27.92,5.86,28.83,3.56,-2.37,0.41,-18.16,0.38,646.88,182.25,1044.43,298.4
13579,215.052706,52.917216,0,,28.60,5.32,28.89,3.03,29.33,2.28,28.32,6.84,28.91,4.52,27.64,5.66,28.28,5.35,-2.19,0.19,-17.81,0.16,767.66,270.89,1693.7,423.25
14098,214.946069,52.84162,0,,27.08,26.39,27.40,10.04,27.13,18.11,26.21,36.32,26.82,25.09,26.00,22.29,26.41,25.11,-1.69,0.23,-19.11,0.2,1056.44,58.93,815.95,68.17
